Company Name,Glassdoor Rating,Employee Count
"Arcadia",4,"501 to 1000 Employees"
"Cedar",4.5,"201 to 500 Employees"
"Doximity",4.3,"501 to 1000 Employees"
"Novo Nordisk",4.3,"10000+ Employees"
"Zocdoc",3.9,"501 to 1000 Employees"
"Thrive Market",N/A,"1001 to 5000 Employees"
"Cerebral",3.2,"N/A"
"Medcare MSO",3.5,"201 to 500 Employees"
"Auris Health",3.7,"201 to 500 Employees"
"Spark Advisors",5,"Employees"
"Pfizer",3.8,"Global Company Size10000+ Employees"
"8th Light, Inc.",3.6,"51 to 200 Employees"
"GHX",3.8,"501 to 1000 Employees"
"Iterative Health",3.4,"51 to 200 Employees"
"NuvoAir",4.1,"51 to 200 Employees"
"Life Fitness",3.9,"1001 to 5000 Employees"
"Schrödinger, Inc.",3.7,"501 to 1000 Employees"
"Alma",3.2,"201 to 500 Employees"
"GoHealth",2.7,"1001 to 5000 Employees"
"Strive Health",3.5,"501 to 1000 Employees"
"Cylinder",4.7,"51 to 200 Employees"
"Artera",3.6,"201 to 500 Employees"
"Flatiron Health",3.4,"1001 to 5000 Employees"
"Apploi",4.3,"Employees"
"Grow Therapy",4.8,"N/A"
"Healthcare Management Administrators (HMA)",3.8,"Employees"
"Imprivata",3.5,"N/A"
"Formation Bio",3.6,"51 to 200 Employees"
"InterSystems",N/A,"1001 to 5000 Employees"
"Vivian Health",3.4,"51 to 200 Employees"
"Nourish",4.1,"51 to 200 Employees"
"Rula",4.5,"1001 to 5000 Employees"
"Ro",2.9,"501 to 1000 Employees"
"firsthand Health Inc",3.2,"201 to 500 Employees"
"HealthJoy",3.7,"51 to 200 Employees"
"Inato",4.6,"51 to 200 Employees"
"Click Therapeutics",3.9,"5001 to 10000 Employees"
"ZS",3.6,"10000+ Employees"
"Cencora",3.6,"10000+ Employees"
"IMO Health",3.8,"201 to 500 Employees"
"WHOOP",3.4,"501 to 1000 Employees"
"Aceable",4.3,"51 to 200 Employees"
"Endpoint Clinical, Inc.",3.4,"Employees"
"Carrot Fertility",3.1,"201 to 500 Employees"
"Cohere Health",3.6,"201 to 500 Employees"
"SOPHiA GENETICS",3.8,"201 to 500 Employees"
"Hart Medical Equipment",3.6,"201 to 500 Employees"
"ImmunityBio",2.8,"201 to 500 Employees"
