"Company Name","Max Glassdoor Rating","Max Employee Count"
"Zenas BioPharma",5,150
"Trinity Health (HQ Michigan)",5,10000
"Spark Advisors",5,"N/A"
"Receivable Solutions, LLC",5,51200
"PSA Healthcare",5,51200
"Pager",5,150
"Neogene Therapeutics",5,"N/A"
"HistoSonics",5,150
"Erasca",5,"N/A"
"Elevate Dynamics",5,150
"DoctorSolutions",5,150
"Curai Health",5,150
"Casana",5,51200
"Carewell",5,150
"BAMF Health",5,51200
"Avive Solutions",5,51200
"Apogee Therapeutics",5,150
"Zebra Medical Vision Ltd",4.9,"N/A"
"Simulations Plus",4.9,150
"pMD",4.9,51200
"Cricket Health",4.9,10015000
"Clinical Research IO (CRIO)",4.9,51200
"Claritas Rx",4.9,51200
"BiOptimizers",4.9,"N/A"
"Vim",4.8,51200
"Rupa Health",4.8,5011000
"Providence Digital Innovation Group",4.8,150
"MedKoder",4.8,51200
"Grow Therapy",4.8,"N/A"
"FORM (formhealth.co)",4.8,"N/A"
"Caption Health",4.8,51200
"Braeburn",4.8,5011000
"Banyan",4.8,150
"ArsenalBio",4.8,201500
"Wayspring",4.7,51200
"TrestleTree",4.7,201500
"TailorMed",4.7,51200
"Podimetrics",4.7,51200
"PatientIQ",4.7,51200
"OUAI",4.7,150
"MRO",4.7,150
"Embodied, Inc.",4.7,10000
"Cynerio",4.7,51200
"Cylinder",4.7,51200
"Currance",4.7,201500
"Better Health",4.7,150
"Abridge",4.7,51200
"Veran Medical Technologies",4.6,"N/A"
"Trellis Rx",4.6,"N/A"
"Sholom",4.6,150
"Peachtree Orthopedics",4.6,5011000
"NeuroFlow",4.6,51200
"Kreative Technologies",4.6,150
"Inato",4.6,51200
"HatchWorks",4.6,51200
"Eleos Health",4.6,51200
"Donor Network West",4.6,201500
"Crossroads",4.6,10015000
"Convergent Dental",4.6,"N/A"
"Chorus Innovations",4.6,51200
"CeloNova",4.6,"N/A"
"Babyscripts",4.6,150
"AtriCure, Inc.",4.6,5011000
"ARS Pharmaceuticals",4.6,150
"Achieve Test Prep",4.6,150
"Visage Imaging",4.5,150
"TI Health",4.5,150
"Theoria Medical",4.5,"N/A"
"Take Command",4.5,51200
"SemanticBits",4.5,201500
"Rula",4.5,10015000
"Remodel Health",4.5,150
"Protenus",4.5,51200
"Potrero Medical",4.5,201500
"Paytient",4.5,51200
"Paradigm.Inc",4.5,5011000
"Next Phase Solutions and Services, Inc.",4.5,51200
"Membersy",4.5,51200
"Loka",4.5,51200
"Livongo",4.5,150
"Linguamatics",4.5,"N/A"
"Lightship",4.5,51200
"KeyBridge Medical Revenue Care",4.5,51200
"InnerSpace",4.5,201500
"Hallow",4.5,500110000
"DeepIntent",4.5,"N/A"
"Centers Health Care",4.5,500110000
"Cedar",4.5,201500
"Cabaletta Bio",4.5,150
"Buoy Health",4.5,201500
"Antidote Health",4.5,150
"Sidecar Health",4.4,201500
"RxAnte",4.4,150
"Promaxo",4.4,150
"Pillar4 Media",4.4,150
"Phillips Precision Medicraft",4.4,201500
"PerfectServe",4.4,201500
"PaceMate",4.4,51200
"Osmind",4.4,51200
"NewPage Solutions Inc",4.4,51200
"MicroHealth",4.4,201500
"Medallion",4.4,201500
"Marker Therapeutics",4.4,"N/A"
"Loopback",4.4,10015000
"LifeOmic",4.4,51200
"Life Link III",4.4,"N/A"
"Lexington Medical",4.4,51200
"Inbox Health",4.4,51200
"HealthPoint",4.4,150
"Health Data Analytics Institute",4.4,150
"Glorium Technologies",4.4,51200
"Envista Holdings",4.4,"N/A"
"Delfi Diagnostics",4.4,51200
"CopilotIQ",4.4,150
"Cassia",4.4,150
"Carterra",4.4,10015000
"Boomer Benefits",4.4,"N/A"
"Zipnosis",4.3,150
"Virtual Radiologic",4.3,"N/A"
"VerifiedFirst",4.3,51200
"Twenty Twenty Therapeutics",4.3,150
"Trilogy Health Services",4.3,10000
"Surgical Notes",4.3,201500
"Skilled Wound Care",4.3,51200
"Sail Biomedicines",4.3,"N/A"
"ROI Healthcare Solutions, LLC",4.3,51200
"restor3d",4.3,150
"Prolucent Health",4.3,51200
"Patientco",4.3,51200
"O Positiv",4.3,51200
"Novo Nordisk",4.3,500110000
"Nice Healthcare",4.3,51200
"Meru Health",4.3,150
"InterSystems",4.3,10015000
"Interlace Health",4.3,10000
"ImagineSoftware",4.3,"N/A"
"I-Mab Biopharma",4.3,201500
"Houston Methodist",4.3,"N/A"
"HealthEdge",4.3,"N/A"
"Force Therapeutics",4.3,51200
"ERT",4.3,5011000
"Equip",4.3,"N/A"
"Edifecs",4.3,10015000
"Ease",4.3,51200
"DSS, Inc.",4.3,5011000
"Doximity",4.3,5011000
"DocGo",4.3,10015000
"Diagnostic Robotics",4.3,"N/A"
"CareATC",4.3,"N/A"
"Calico Life Sciences",4.3,201500
"Blueprint Medicines",4.3,"N/A"
"Bigfoot Biomedical",4.3,"N/A"
"Apploi",4.3,"N/A"
"Akido Labs",4.3,201500
"AirMed International",4.3,51200
"Ageless Mens Health",4.3,"N/A"
"Aceable",4.3,51200
"Abroad",4.3,51200
"Wellhub",4.2,"N/A"
"Waystar",4.2,10015000
"Verve Therapeutics",4.2,201500
"Verse Medical",4.2,51200
"US WorldMeds",4.2,"N/A"
"Total Joint Orthopedics",4.2,150
"Suki Ai",4.2,51200
"SpringBoard Healthcare",4.2,201500
"Shields Health Solutions",4.2,10015000
"Sesame",4.2,150
"Ryan Companies",4.2,10015000
"Roche",4.2,201500
"PROCEPT BioRobotics",4.2,5011000
"Path",4.2,10015000
"OncoHealth",4.2,201500
"Ollie",4.2,51200
"Neurocrine Biosciences",4.2,10015000
"myLaurel",4.2,"N/A"
"MyFitnessPal",4.2,51200
"Muse® by Interaxon Inc.",4.2,51200
"Medical Guardian",4.2,201500
"Mammoth Biosciences",4.2,51200
"Lawn Love",4.2,150
"Laerdal Labs D.C.",4.2,"N/A"
"Kontakt.io",4.2,51200
"KidsCare Home Health",4.2,5011000
"Impulse Dynamics",4.2,"N/A"
"Hint",4.2,"N/A"
"Hey Jane",4.2,10015000
"Haemonetics",4.2,10015000
"Grace Healthcare Services",4.2,5011000
"Global Health Corps",4.2,"N/A"
"GE Healthcare",4.2,"N/A"
"Fligoo",4.2,150
"Envita Medical Center",4.2,"N/A"
"Empatica",4.2,51200
"Driscoll Children's Hospital",4.2,10015000
"Cook Children's Health Care System",4.2,"N/A"
"CHG Healthcare",4.2,10015000
"CentralReach",4.2,"N/A"
"BrainCheck",4.2,150
"BIOHORIZONS IMPLANT SYSTEMS",4.2,"N/A"
"Association of American Medical Colleges (AAMC)",4.2,"N/A"
"Arterys",4.2,150
"AQUA",4.2,150
"AMBOSS",4.2,201500
"Alpha II",4.2,51200
"A-dec",4.2,10015000
"Virtelligence",4.1,"N/A"
"Twin Health",4.1,5011000
"Studer Group",4.1,500110000
"Stryker",4.1,10000
"Shepherd Center",4.1,10015000
"SeaSpine",4.1,201500
"Scholar Rock",4.1,500110000
"Savvysherpa",4.1,150
"ResMed",4.1,"N/A"
"Radix Health",4.1,"N/A"
"PaxeraHealth",4.1,51200
"Open (o-p-e-n.com)",4.1,150
"NuvoAir",4.1,51200
"Nourish",4.1,51200
"Navigating Cancer",4.1,"N/A"
"Merck",4.1,10000
"MedAcuity",4.1,51200
"MCRA",4.1,"N/A"
"Massive Bio",4.1,150
"MANSCAPED, Inc.",4.1,51200
"Kymera Therapeutics",4.1,51200
"Human API",4.1,51200
